epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,386.648,1.51949,6.71041,0.02353,0.46347,0.11803,0.17347,0.05594,1.74417,10.3539,0.03765,0.00066,0.00066,0.00066
2,771.184,1.67507,4.63782,0.02715,0.24127,0.27733,0.17645,0.0525,1.93239,5.60118,0.04437,0.00131353,0.00131353,0.00131353
3,1154.66,1.83435,3.4199,0.02978,0.33568,0.33115,0.25145,0.07501,2.07131,3.52784,0.04602,0.00195387,0.00195387,0.00195387
4,1537.12,1.93816,2.92527,0.03211,0.24588,0.2623,0.17131,0.04661,2.2206,3.35205,0.05109,0.0019406,0.0019406,0.0019406
5,1922.11,1.91706,2.74609,0.03194,0.29393,0.31148,0.22274,0.06704,2.18747,3.04639,0.04935,0.0019208,0.0019208,0.0019208
6,2308.14,1.90825,2.7047,0.03152,0.35707,0.32459,0.26942,0.08341,2.14299,2.91809,0.04891,0.001901,0.001901,0.001901
7,2701.46,1.90993,2.56434,0.03262,0.36439,0.43279,0.3228,0.09521,2.26983,2.48063,0.05251,0.0018812,0.0018812,0.0018812
8,3088.77,1.90559,2.56504,0.03181,0.35374,0.29508,0.25792,0.08239,2.19201,2.80996,0.05222,0.0018614,0.0018614,0.0018614
9,3492.1,1.87466,2.44715,0.03042,0.34898,0.39344,0.29061,0.10233,2.07893,2.36377,0.04526,0.0018416,0.0018416,0.0018416
10,3881.11,1.91508,2.38745,0.03186,0.42096,0.43858,0.39253,0.13341,2.11441,2.19712,0.0472,0.0018218,0.0018218,0.0018218
11,4267.44,1.91506,2.33512,0.03204,0.45864,0.3541,0.33895,0.11232,2.22198,2.312,0.05102,0.001802,0.001802,0.001802
12,4670.62,1.92348,2.32342,0.03155,0.44777,0.47213,0.39873,0.12677,2.18943,2.04917,0.04878,0.0017822,0.0017822,0.0017822
13,5085.25,1.87537,2.2289,0.03075,0.47142,0.45902,0.4314,0.1497,2.11332,2.02089,0.04768,0.0017624,0.0017624,0.0017624
14,5488.53,1.90639,2.17536,0.03202,0.45347,0.46557,0.43655,0.15027,2.1234,2.08103,0.0476,0.0017426,0.0017426,0.0017426
